episode,global_step,ep_reward,ep_length,termination_reason,term_goal,term_battery,term_collision,term_timeout,start_x,start_y,goal_x,goal_y,distance_to_goal,distance_reduction,invalid_move_count,invalid_move_rate,battery_remaining,avg_network_score,avg_rssi,avg_latency,avg_packet_loss,total_outage_steps,route_distance
62,6157,-103.195627,100,timeout,0,0,0,1,13,11,19,12,8.602325267042627,-2.5195627367444073,58,0.58,9952.17499999998,0.18990762742940961,-100.42643564356436,,,100,46.556349186104036
63,6257,-52.979543,100,timeout,0,0,0,1,12,7,17,13,6.708203932499369,1.1020457434072846,44,0.44,9947.039149999982,0.19060834200537174,-99.37039603960397,,,100,63.455844122715696
64,6357,-92.81746,100,timeout,0,0,0,1,4,10,3,2,8.54400374531753,-0.48174599701898124,68,0.68,9959.577599999984,0.1691749531709927,-101.90257425742578,,,100,32.0
65,6457,-51.827625,100,timeout,0,0,0,1,13,7,13,0,6.082762530298219,0.9172374697017807,41,0.41,9944.296999999973,0.25817399577795624,-89.58534653465345,,,96,67.69848480983498
66,6557,-5.822159,100,timeout,0,0,0,1,6,6,14,8,2.8284271247461903,5.417784126489131,40,0.4,9943.917049999976,0.263750435584099,-93.90217821782178,,,65,69.11269837220806
67,6657,-15.377423,100,timeout,0,0,0,1,8,18,16,19,1.0,7.062257748298549,66,0.66,9953.811849999982,0.09807282629163816,-112.9139603960396,,,100,36.485281374238575
68,6757,-66.869711,100,timeout,0,0,0,1,0,15,2,10,4.47213595499958,0.9130288521349241,56,0.56,9949.816999999977,0.10976047730899222,-109.1330693069307,,,100,48.55634918610404
69,6857,-42.050549,100,timeout,0,0,0,1,16,19,9,17,5.385164807134504,1.8949450821460143,41,0.41,9947.17704999999,0.1456184818481848,-107.46059405940592,,,100,63.55634918610404
70,6957,-88.0,100,timeout,0,0,0,1,3,7,7,12,6.4031242374328485,0.0,68,0.68,9957.252399999981,0.2510734338298695,-94.8320792079208,,,89,36.97056274847714
71,7057,-32.804555,100,timeout,0,0,0,1,7,6,14,0,6.0,3.219544457292887,45,0.45,9947.646799999977,0.22178386802644234,-95.75118811881185,,,92,60.79898987322332
72,7157,-93.0,100,timeout,0,0,0,1,1,10,0,17,7.0710678118654755,0.0,73,0.73,9958.207499999979,0.15450490193163466,-103.47831683168316,,,100,28.242640687119287
73,7244,140.323253,87,goal_reached,1,0,0,0,14,2,9,9,0.0,8.602325267042627,37,0.42528735632183906,9953.576849999976,0.2456052313677314,-91.3996590909091,,,85,54.14213562373095
74,7344,-115.646782,100,timeout,0,0,0,1,9,8,14,11,10.295630140987,-4.4646782461417,51,0.51,9949.900149999987,0.27484243748699194,-93.11891089108909,,,75,52.727922061357845
75,7444,-78.122301,100,timeout,0,0,0,1,7,10,2,2,8.246211251235321,1.187769880821282,70,0.7,9960.169599999983,0.17239486813546218,-101.59782178217822,,,100,30.414213562373096
76,7544,-84.178429,100,timeout,0,0,0,1,16,6,10,12,6.4031242374328485,2.082157136805721,85,0.85,9964.183549999976,0.2405830384840286,-92.37980198019802,,,99,15.0
77,7644,-49.411611,100,timeout,0,0,0,1,13,9,5,12,5.385164807134504,3.1588389381830266,61,0.61,9955.518549999984,0.16230920425375872,-103.01821782178214,,,100,41.89949493661167
78,7744,-55.744642,100,timeout,0,0,0,1,9,9,15,7,5.0990195135927845,1.2255358067439746,48,0.48,9949.939199999983,0.17723629768382246,-101.37742574257426,,,100,58.627416997969505
79,7844,-43.377423,100,timeout,0,0,0,1,19,13,15,6,5.0,3.062257748298549,54,0.54,9950.663949999986,0.18662420242024214,-100.94792079207917,,,100,53.4558441227157
80,7944,-86.994949,100,timeout,0,0,0,1,1,18,7,10,9.899494936611665,0.10050506338833465,68,0.68,9957.899349999972,0.06885816509578888,-115.03960396039602,,,100,35.31370849898477
81,8044,-97.831033,100,timeout,0,0,0,1,10,6,3,2,11.045361017187261,-2.983103268888712,48,0.48,9947.594399999974,0.23146727519598817,-93.61128712871285,,,91,57.384776310850214
82,8144,-116.333724,100,timeout,0,0,0,1,7,17,6,9,10.295630140987,-2.2333723926884517,74,0.74,9956.044649999983,0.08037556170031415,-113.87900990099008,,,100,28.07106781186548
83,8244,-44.888974,100,timeout,0,0,0,1,14,5,18,11,5.0,2.2111025509279782,47,0.47,9948.625399999979,0.2616407427229209,-88.97099009900988,,,89,58.798989873223306
84,8344,-28.487814,100,timeout,0,0,0,1,9,9,1,4,6.082762530298219,3.351218601758384,42,0.42,9948.95284999997,0.19676664089832405,-99.36267326732676,,,99,65.45584412271569
