episode,global_step,ep_reward,ep_length,termination_reason,term_goal,term_battery,term_collision,term_timeout,start_x,start_y,goal_x,goal_y,distance_to_goal,distance_reduction,invalid_move_count,invalid_move_rate,battery_remaining,avg_network_score,avg_rssi,avg_latency,avg_packet_loss,total_outage_steps,route_distance
1,168,-7842.235141,168,battery_depleted,0,1,0,0,12,5,7,19,8.54400374531753,6.322065002000976,60,0.35714285714285715,0.0,0.20341070241839473,-97.38443786982249,,,159,127.88225099390847
2,362,-11108.652548,194,battery_depleted,0,1,0,0,17,0,14,17,13.152946437965905,4.109730063666163,95,0.4896907216494845,0.0,0.24387970791304125,-92.30784615384614,,,171,117.2253967444161
3,518,-542.165601,156,battery_depleted,0,1,0,0,4,3,18,10,13.152946437965905,2.4995294045326233,49,0.3141025641025641,0.0,0.3708590692603432,-85.66178343949045,,,55,128.95331880577393
4,679,-872.367706,161,battery_depleted,0,1,0,0,6,2,4,17,11.180339887498949,3.9524060629226074,52,0.32298136645962733,0.0,0.32081379465885645,-89.62339506172839,,,69,132.61017305526633
5,861,-13136.530364,182,battery_depleted,0,1,0,0,9,9,19,0,17.0,-3.54637595292629,77,0.4230769230769231,0.0,0.16605159257618274,-103.3300546448088,,,171,124.46803743153536
6,1038,-16593.695486,177,battery_depleted,0,1,0,0,12,19,1,2,24.08318915758459,-3.8347324262680047,65,0.3672316384180791,0.0,0.12736473158551812,-110.35971910112359,,,177,131.88225099390849
7,1191,-2724.509044,153,battery_depleted,0,1,0,0,8,0,16,16,12.0,5.888543819998318,36,0.23529411764705882,0.0,0.2601126269126269,-89.26311688311688,,,138,143.92388155425112
8,1355,-14284.859847,164,battery_depleted,0,1,0,0,13,19,0,15,19.0,-5.398529491264556,46,0.2804878048780488,0.0,0.14570718536718538,-107.41872727272725,,,164,141.19595949289325
9,1515,-735.893236,160,battery_depleted,0,1,0,0,7,4,12,17,18.788294228055936,-4.859905950871816,50,0.3125,0.0,0.3265971107753717,-89.26316770186335,,,78,131.95331880577396
10,1704,-10333.017401,189,battery_depleted,0,1,0,0,8,8,17,0,19.0,-6.958405421207704,89,0.4708994708994709,0.0,0.1709840171750698,-102.85015789473684,,,186,121.53910524340084
