scenario_index,start,goal,ppo_success,ppo_steps,ppo_distance,ppo_net_quality,ppo_outage_steps,ppo_battery_used,ppo_failure_reason,astar_success,astar_steps,astar_distance,astar_net_quality,astar_outage_steps,astar_battery_used,ppo_rssi,ppo_latency,ppo_packet_loss,astar_rssi,astar_latency,astar_packet_loss
1,"[5, 40]","[49, 46]",False,2,1.4142135623730951,0.0,2,1.4000000000000057,collision,True,44,47.31370849898475,0.0,45,23.599999999999998,-110.0,500.0,1.0,-110.0,500.0,1.0
2,"[41, 21]","[17, 8]",False,2,1.4142135623730951,0.0,2,1.2000000000000028,collision,True,25,29.970562748477146,0.0,26,14.899999999999997,-110.0,500.0,1.0,-110.0,500.0,1.0
3,"[31, 14]","[49, 35]",False,2,1.4142135623730951,0.0,2,1.2000000000000028,collision,True,21,28.45584412271572,0.0,22,14.099999999999994,-110.0,500.0,1.0,-110.0,500.0,1.0
4,"[9, 5]","[35, 38]",False,1,0.0,0.0,1,0.7000000000000028,collision,True,38,47.52691193458118,0.0,39,23.59999999999999,-110.0,500.0,1.0,-110.0,500.0,1.0
5,"[20, 35]","[6, 2]",False,1,0.0,0.0,1,0.5,collision,True,35,41.62741699796951,0.0,36,20.699999999999992,-110.0,500.0,1.0,-110.0,500.0,1.0
6,"[37, 18]","[0, 25]",False,1,0.0,0.0,1,0.5,collision,True,37,44.041630560342604,0.0,38,21.899999999999995,-110.0,500.0,1.0,-110.0,500.0,1.0
7,"[15, 44]","[25, 25]",False,1,0.0,0.0,1,0.5,collision,True,20,25.384776310850242,0.0,21,12.599999999999998,-110.0,500.0,1.0,-110.0,500.0,1.0
8,"[15, 16]","[23, 44]",False,1,0.0,0.0,1,0.5,collision,True,28,32.97056274847714,0.0,29,16.399999999999995,-110.0,500.0,1.0,-110.0,500.0,1.0
9,"[14, 36]","[28, 17]",False,3,2.8284271247461903,0.0,3,2.1000000000000085,collision,True,22,26.55634918610405,0.0,23,13.199999999999996,-110.0,500.0,1.0,-110.0,500.0,1.0
10,"[2, 11]","[27, 4]",False,1,0.0,0.0,1,0.5,collision,True,27,31.55634918610405,0.0,28,15.699999999999996,-110.0,500.0,1.0,-110.0,500.0,1.0
11,"[42, 31]","[20, 36]",False,1,0.0,0.0,1,0.5,collision,True,22,24.071067811865476,0.0,23,12.0,-110.0,500.0,1.0,-110.0,500.0,1.0
12,"[40, 37]","[47, 16]",False,5,5.656854249492381,0.0,5,3.3000000000000114,collision,True,22,24.485281374238575,0.0,23,12.199999999999998,-110.0,500.0,1.0,-110.0,500.0,1.0
13,"[47, 17]","[18, 0]",False,5,5.656854249492381,0.0,5,3.500000000000014,collision,True,29,36.04163056034262,0.0,30,17.89999999999999,-110.0,500.0,1.0,-110.0,500.0,1.0
14,"[33, 39]","[3, 47]",False,4,4.242640687119286,0.0,4,2.6000000000000085,collision,True,30,34.14213562373095,0.0,31,16.999999999999996,-110.0,500.0,1.0,-110.0,500.0,1.0
15,"[36, 19]","[22, 4]",False,1,0.0,0.0,1,0.5,collision,True,15,20.798989873223338,0.0,16,10.299999999999999,-110.0,500.0,1.0,-110.0,500.0,1.0
16,"[2, 36]","[1, 11]",False,1,0.0,0.0,1,0.5,collision,True,25,27.899494936611667,0.0,26,13.899999999999999,-110.0,500.0,1.0,-110.0,500.0,1.0
17,"[31, 37]","[28, 8]",False,2,1.4142135623730951,0.0,2,1.2000000000000028,collision,True,29,31.07106781186548,0.0,30,15.5,-110.0,500.0,1.0,-110.0,500.0,1.0
18,"[39, 0]","[9, 10]",False,4,0.0,0.0,4,2.6000000000000085,collision,True,32,38.62741699796951,0.0,33,19.199999999999992,-110.0,500.0,1.0,-110.0,500.0,1.0
19,"[10, 35]","[29, 4]",False,1,0.0,0.0,1,0.5,collision,True,31,39.698484809834994,0.0,32,19.699999999999992,-110.0,500.0,1.0,-110.0,500.0,1.0
20,"[29, 16]","[45, 41]",False,1,0.0,0.0,1,0.7000000000000028,collision,True,27,34.45584412271572,0.0,28,17.09999999999999,-110.0,500.0,1.0,-110.0,500.0,1.0
