episode,global_step,ep_reward,ep_length,termination_reason,term_goal,term_battery,term_collision,term_timeout,start_x,start_y,goal_x,goal_y,distance_to_goal,distance_reduction,invalid_move_count,invalid_move_rate,battery_remaining,avg_network_score,avg_rssi,avg_latency,avg_packet_loss,total_outage_steps,route_distance
1,207,-22542.870761,207,battery_depleted,0,1,0,0,49,47,37,33,13.416407864998739,5.022681049587035,81,0.391304347826087,0.0,0.0,,,,207,151.68124086713195
2,405,-20701.92827,198,battery_depleted,0,1,0,0,21,31,23,42,17.804493814764857,-6.624153927265908,63,0.3181818181818182,0.0,0.0,,,,198,165.23759005323603
3,577,-15600.383517,172,battery_depleted,0,1,0,0,39,42,10,35,26.476404589747453,3.356463190605144,9,0.05232558139534884,0.0,0.0,,,,172,196.96551211459408
4,765,-18715.833992,188,battery_depleted,0,1,0,0,20,37,38,21,35.608987629529715,-11.525798471945123,42,0.22340425531914893,0.0,0.0,,,,188,175.82337649086298
5,961,-20312.759963,196,battery_depleted,0,1,0,0,22,2,0,20,39.0,-10.57465919289621,60,0.30612244897959184,0.0,0.0,,,,196,164.58073580374358
6,1130,-15058.095927,169,battery_depleted,0,1,0,0,47,24,37,11,13.038404810405298,3.3628146564514285,6,0.03550295857988166,0.0,0.0,,,,169,197.79393923934026
7,1333,-21776.708389,203,battery_depleted,0,1,0,0,18,21,42,39,37.013511046643494,-7.013511046643494,77,0.3793103448275862,0.0,0.0,,,,203,153.33809511662432
8,1521,-18679.615636,188,battery_depleted,0,1,0,0,17,47,11,31,24.515301344262525,-7.427293853627464,43,0.22872340425531915,0.0,0.0,,,,188,175.6518036156091
9,1698,-16444.343177,177,battery_depleted,0,1,0,0,49,23,36,45,10.0,15.553864678361276,19,0.10734463276836158,0.0,0.0,,,,177,189.89444430272846
10,1893,-20101.625383,195,battery_depleted,0,1,0,0,13,26,32,43,28.42534080710379,-2.930243239139866,71,0.3641025641025641,0.0,0.0,,,,195,159.62236636408625
11,2081,-18648.500726,188,battery_depleted,0,1,0,0,24,33,29,44,9.848857801796104,2.2341881717984684,38,0.20212765957446807,0.0,0.0,,,,188,178.5807358037437
12,2274,-19648.113811,193,battery_depleted,0,1,0,0,12,30,41,35,31.575306807693888,-2.147428868569566,52,0.2694300518134715,0.0,0.0,,,,193,170.82337649086298
13,2469,-20034.204244,195,battery_depleted,0,1,0,0,13,26,28,26,16.1245154965971,-1.1245154965970983,48,0.24615384615384617,0.0,0.0,,,,195,171.85281374238576
14,2653,-17881.506329,184,battery_depleted,0,1,0,0,40,34,38,21,21.93171219946131,-8.778765761495404,29,0.15760869565217392,0.0,0.0,,,,184,184.40916292848988
15,2832,-16851.683474,179,battery_depleted,0,1,0,0,34,38,28,17,9.848857801796104,11.991471866045451,25,0.13966480446927373,0.0,0.0,,,,179,187.1370849898478
16,3032,-21110.552261,200,battery_depleted,0,1,0,0,39,8,41,25,22.561028345356956,-5.443785576733266,64,0.32,0.0,0.0,,,,200,161.68124086713195
17,3208,-16413.673127,176,battery_depleted,0,1,0,0,28,45,5,40,35.22782990761707,-11.690625315737432,18,0.10227272727272728,0.0,0.0,,,,176,190.7228714274747
18,3406,-20720.140822,198,battery_depleted,0,1,0,0,23,29,37,26,20.808652046684813,-6.490830983408459,64,0.32323232323232326,0.0,0.0,,,,198,163.82337649086287
19,3606,-21092.721985,200,battery_depleted,0,1,0,0,35,2,41,21,16.492422502470642,3.4324363427006332,71,0.355,0.0,0.0,,,,200,159.65180361560905
20,3782,-16310.705384,176,battery_depleted,0,1,0,0,47,30,31,14,17.804493814764857,4.822923183204665,16,0.09090909090909091,0.0,0.0,,,,176,191.0660171779823
21,3972,-18989.894005,190,battery_depleted,0,1,0,0,30,21,9,5,15.297058540778355,11.103699024109815,41,0.21578947368421053,0.0,0.0,,,,190,177.9949493661168
22,4185,-23902.053054,213,battery_depleted,0,1,0,0,39,49,20,35,31.016124838541646,-7.415277396129753,88,0.4131455399061033,0.0,0.0,,,,213,147.36753236814715
23,4366,-17353.751862,181,battery_depleted,0,1,0,0,31,31,37,18,28.792360097775937,-14.474539034499584,27,0.14917127071823205,0.0,0.0,,,,181,185.48023074035538
24,4563,-20433.354386,197,battery_depleted,0,1,0,0,35,18,14,7,7.810249675906654,15.89628950635274,67,0.3401015228426396,0.0,0.0,,,,197,159.4091629284898
25,4750,-18431.113352,187,battery_depleted,0,1,0,0,6,37,27,31,20.0,1.840329667841555,38,0.20320855614973263,0.0,0.0,,,,187,178.82337649086298
26,4918,-14874.264143,168,battery_depleted,0,1,0,0,39,38,15,44,18.867962264113206,5.870671489592755,5,0.02976190476190476,0.0,0.0,,,,168,199.03657992645944
27,5117,-20903.782644,199,battery_depleted,0,1,0,0,10,45,22,49,17.69180601295413,-5.042695372280614,67,0.33668341708542715,0.0,0.0,,,,199,158.92388155425124
28,5303,-18286.155148,186,battery_depleted,0,1,0,0,35,21,12,37,40.607881008493905,-12.590029556250105,32,0.17204301075268819,0.0,0.0,,,,186,182.99494936611677
29,5483,-17134.847371,180,battery_depleted,0,1,0,0,27,42,15,16,37.8021163428716,-9.166474216318893,26,0.14444444444444443,0.0,0.0,,,,180,186.72287142747473
30,5692,-23053.269246,209,battery_depleted,0,1,0,0,11,11,14,36,25.079872407968907,0.09948421605943736,92,0.44019138755980863,0.0,0.0,,,,209,145.9949493661166
31,5882,-19012.721163,190,battery_depleted,0,1,0,0,29,18,2,11,19.235384061671343,8.657267300291362,43,0.22631578947368422,0.0,0.0,,,,190,174.75230867899745
32,6078,-20317.953745,196,battery_depleted,0,1,0,0,24,42,40,37,31.400636936215164,-14.637582321974953,53,0.27040816326530615,0.0,0.0,,,,196,171.16652224137056
33,6266,-18568.850639,188,battery_depleted,0,1,0,0,11,23,36,19,4.123105625617661,21.194872176726665,50,0.26595744680851063,0.0,0.0,,,,188,173.6223663640863
34,6439,-15857.819223,173,battery_depleted,0,1,0,0,31,33,10,35,29.832867780352597,-8.737844670623609,18,0.10404624277456648,0.0,0.0,,,,173,191.45079348883263
35,6652,-24026.111321,213,battery_depleted,0,1,0,0,8,15,18,16,19.1049731745428,-9.05509755342191,93,0.43661971830985913,0.0,0.0,,,,213,146.50966799187805
36,6824,-15587.008101,172,battery_depleted,0,1,0,0,34,33,25,48,15.652475842498529,1.8403798420373718,4,0.023255813953488372,0.0,0.0,,,,172,199.06601717798225
37,7020,-20188.145389,196,battery_depleted,0,1,0,0,18,16,30,30,9.0,9.439088914585774,57,0.29081632653061223,0.0,0.0,,,,196,166.33809511662437
38,7243,-26121.429713,223,battery_depleted,0,1,0,0,5,5,0,26,15.652475842498529,5.934557302424373,111,0.4977578475336323,0.0,0.0,,,,223,133.95331880577396
39,7421,-16700.827979,178,battery_depleted,0,1,0,0,33,36,20,38,10.04987562112089,3.1030708168450154,18,0.10112359550561797,0.0,0.0,,,,178,190.65180361560925
40,7589,-14894.905965,168,battery_depleted,0,1,0,0,47,24,21,29,25.495097567963924,0.9813070217835289,5,0.02976190476190476,0.0,0.0,,,,168,198.6223663640864
41,7779,-19092.274323,190,battery_depleted,0,1,0,0,23,14,0,30,36.40054944640259,-8.382697994158793,45,0.23684210526315788,0.0,0.0,,,,190,176.06601717798227
42,7980,-21205.955069,201,battery_depleted,0,1,0,0,30,37,43,17,2.23606797749979,21.617652906253337,66,0.3283582089552239,0.0,0.0,,,,201,162.7523086789974
43,8168,-18666.340469,188,battery_depleted,0,1,0,0,39,22,45,49,27.459060435491963,0.19957293638669782,44,0.23404255319148937,0.0,0.0,,,,188,175.06601717798227
44,8369,-21250.251206,201,battery_depleted,0,1,0,0,26,17,12,39,19.235384061671343,6.841425559139253,60,0.29850746268656714,0.0,0.0,,,,201,165.43860018001266
45,8569,-21081.60575,200,battery_depleted,0,1,0,0,29,1,28,25,21.633307652783937,2.3875166461446895,60,0.3,0.0,0.0,,,,200,163.6101730552665
46,8771,-21475.750093,202,battery_depleted,0,1,0,0,19,49,37,38,18.681541692269406,2.4134814174595824,67,0.3316831683168317,0.0,0.0,,,,202,159.43860018001268
47,8952,-17309.974374,181,battery_depleted,0,1,0,0,26,49,6,45,30.364452901377952,-9.968374847006814,21,0.11602209944751381,0.0,0.0,,,,181,189.82337649086304
48,9143,-19233.705457,191,battery_depleted,0,1,0,0,0,30,13,48,20.615528128088304,1.5880751830862145,47,0.24607329842931938,0.0,0.0,,,,191,172.1665222413706
49,9329,-18264.392251,186,battery_depleted,0,1,0,0,37,22,14,16,27.018512172212592,-3.2487835242031657,38,0.20430107526881722,0.0,0.0,,,,186,179.06601717798225
50,9528,-20863.087902,199,battery_depleted,0,1,0,0,4,27,32,37,30.083217912982647,-0.3510804183456351,57,0.2864321608040201,0.0,0.0,,,,199,168.09545442950508
51,9722,-19854.319257,194,battery_depleted,0,1,0,0,11,46,32,28,24.839484696748443,2.8191486751302186,54,0.27835051546391754,0.0,0.0,,,,194,167.33809511662437
52,9916,-19868.762464,194,battery_depleted,0,1,0,0,24,32,18,47,16.278820596099706,-0.12332617469619578,55,0.28350515463917525,0.0,0.0,,,,194,167.5807358037436
53,10113,-20500.958893,197,battery_depleted,0,1,0,0,24,9,44,24,35.38361202590826,-10.383612025908263,57,0.2893401015228426,0.0,0.0,,,,197,166.92388155425124
54,10295,-17424.751392,182,battery_depleted,0,1,0,0,29,34,41,28,5.0990195135927845,8.317388351405954,26,0.14285714285714285,0.0,0.0,,,,182,184.99494936611683
55,10480,-18090.919673,185,battery_depleted,0,1,0,0,33,25,12,19,28.653097563788805,-6.81276789594725,33,0.1783783783783784,0.0,0.0,,,,185,182.6518036156092
56,10666,-18248.127649,186,battery_depleted,0,1,0,0,15,20,36,19,21.540659228538015,-0.5168631869093758,34,0.1827956989247312,0.0,0.0,,,,186,181.82337649086298
57,10859,-19640.808628,193,battery_depleted,0,1,0,0,45,5,37,33,21.95449840010015,7.165941157021923,52,0.2694300518134715,0.0,0.0,,,,193,170.40916292848982
58,11036,-16549.965225,177,battery_depleted,0,1,0,0,19,18,47,23,31.400636936215164,-2.9577116295593804,24,0.13559322033898305,0.0,0.0,,,,177,186.96551211459396
59,11229,-19567.29109,193,battery_depleted,0,1,0,0,11,24,16,36,3.605551275463989,9.39444872453601,42,0.21761658031088082,0.0,0.0,,,,193,177.92388155425132
60,11421,-19404.51922,192,battery_depleted,0,1,0,0,24,45,43,26,23.345235059857504,3.5248226252313017,46,0.23958333333333334,0.0,0.0,,,,192,173.7523086789975
61,11599,-16718.747062,178,battery_depleted,0,1,0,0,38,38,31,29,14.0,-2.598245749008621,19,0.10674157303370786,0.0,0.0,,,,178,190.06601717798227
62,11814,-24389.039011,215,battery_depleted,0,1,0,0,21,5,39,20,30.083217912982647,-6.652468885262685,100,0.46511627906976744,0.0,0.0,,,,215,140.26702730475873
63,12021,-22611.409359,207,battery_depleted,0,1,0,0,7,25,19,16,22.47220505424423,-7.472205054244231,80,0.3864734299516908,0.0,0.0,,,,207,154.75230867899742
64,12224,-21767.06573,203,battery_depleted,0,1,0,0,1,41,11,17,30.4138126514911,-4.413812651491099,72,0.35467980295566504,0.0,0.0,,,,203,158.33809511662437
65,12417,-19621.943941,193,battery_depleted,0,1,0,0,49,7,36,31,26.076809620810597,1.2178785071017657,50,0.25906735751295334,0.0,0.0,,,,193,169.5096679918782
66,12631,-24165.099609,214,battery_depleted,0,1,0,0,37,18,36,39,30.083217912982647,-9.059421871354008,93,0.43457943925233644,0.0,0.0,,,,214,149.16652224137047
