lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
12.93,77.63,404,86,18003,12733,,1000,1,1,GSM,,,,,,
12.93,77.63,404,86,31403,37962,,1000,1,1,GSM,,,,,,
12.93,77.63,404,45,4014,3602,,1000,1,1,GSM,,,,,,
12.93,77.62,405,861,25,25137,,1000,1,1,LTE,,,25,,,
12.93,77.62,404,44,41010,10989865,,1000,1,1,LTE,,,41010,,,
12.93,77.62,404,86,31901,28152,,9449,1,1,GSM,,,,,,
12.93,77.62,405,861,25,25124,,1000,1,1,LTE,,,25,,,
12.93,77.62,404,45,25072,3221,,1000,1,1,GSM,,,,,,
12.93,77.62,404,45,8668,102547969,,1000,1,1,LTE,,,8668,,,
12.93,77.62,404,86,18003,2213,,1000,1,1,GSM,,,,,,
12.93,77.62,404,44,41310,11071529,,1000,1,1,LTE,,,41310,,,
12.93,77.63,404,71,3311,20415118,,1000,1,1,UMTS,,,,,,
12.93,77.63,404,86,54136,204822280,,1000,1,1,LTE,,,54136,,,
12.93,77.62,404,45,25072,1313,,1000,1,1,GSM,,,,,,
12.93,77.62,404,86,18003,30602,,1000,1,1,GSM,,,,,,
12.93,77.62,404,86,18003,30601,,1000,1,1,GSM,,,,,,
12.93,77.62,404,86,18003,30603,,1000,1,1,GSM,,,,,,
12.93,77.62,404,86,18003,2211,,1000,1,1,GSM,,,,,,
12.93,77.63,404,86,21801,20869676,,1414,1,1,UMTS,,,,,,
12.93,77.62,404,45,35081,43802,,1000,1,1,GSM,,,,,,
12.93,77.63,405,861,25,5097492,,1000,1,1,LTE,,,25,,,
12.93,77.62,404,44,1010,12292,,1000,1,1,GSM,,,,,,
12.93,77.62,404,45,25073,1311,,1000,1,1,GSM,,,,,,
12.93,77.62,404,86,21402,20869675,,1000,1,1,UMTS,,,,,,
12.93,77.63,404,71,3327,21457437,,1000,1,1,UMTS,,,,,,
12.93,77.63,405,861,25,115248,,1000,1,1,LTE,,,25,,,
12.93,77.63,404,86,33202,61513,,1000,1,1,GSM,,,,,,
12.93,77.62,404,45,8668,33547,,1000,1,1,LTE,,,8668,,,
12.93,77.62,405,861,25,34101264,,1000,1,1,LTE,,,25,,,
12.93,77.62,404,45,25075,43802,,1000,1,1,GSM,,,,,,
12.93,77.63,404,44,1311,871,,8641,1,1,GSM,,,,,,
12.93,77.62,404,45,34013,26412321,,1000,1,1,UMTS,,,,,,
12.93,77.62,404,44,1010,6111,,1000,1,1,GSM,,,,,,
12.93,77.62,405,861,25,25107,,1000,1,1,LTE,,,25,,,
12.93,77.62,404,86,51111,61012,,1000,1,1,GSM,,,,,,
12.93,77.62,404,45,34031,26414322,,5064,1,1,UMTS,,,,,,
12.93,77.63,404,86,50047,2212,,1000,1,1,GSM,,,,,,
12.93,77.63,404,45,34031,26414611,,1000,1,1,UMTS,,,,,,
12.93,77.63,404,45,34031,26414616,,1000,1,1,UMTS,,,,,,
12.93,77.62,404,45,34031,26412326,,1000,1,1,UMTS,,,,,,
12.93,77.62,405,861,25,25110,,1000,1,1,LTE,,,25,,,
12.93,77.62,404,45,25072,12822,,1000,1,1,GSM,,,,,,
12.93,77.63,405,803,1121,20223,,1000,1,1,GSM,,,,,,
12.93,77.62,404,45,4014,3221,,1000,1,1,GSM,,,,,,
12.93,77.63,404,45,25072,6363,,1000,1,1,GSM,,,,,,
12.93,77.62,404,45,1061,33538,,1000,1,1,LTE,,,1061,,,
12.93,77.62,404,71,3327,21457396,,1000,1,1,UMTS,,,,,,
12.93,77.62,405,861,25,25105,,1000,1,1,LTE,,,25,,,
12.93,77.62,405,861,25,34096400,,1000,1,1,LTE,,,25,,,
12.93,77.62,404,45,8369,33537,,1000,1,1,LTE,,,8369,,,
