scenario_index,start,goal,ppo_success,ppo_steps,ppo_distance,ppo_net_quality,ppo_outage_steps,ppo_battery_used,ppo_failure_reason,astar_success,astar_steps,astar_distance,astar_net_quality,astar_outage_steps,astar_battery_used,ppo_rssi,ppo_latency,ppo_packet_loss,astar_rssi,astar_latency,astar_packet_loss
1,"[2, 19]","[19, 1]",False,5,0.0,0.06556896896896892,6,3.4535,loop_detected,True,26,31.384776310850242,0.17957527898268638,24,18.825699999999998,-110.0,500.0,1.0,-99.71407407407408,500.0,1.0
2,"[19, 16]","[1, 6]",False,7,2.0,0.14690509259259255,8,4.1543,loop_detected,True,18,22.142135623730955,0.18395452821242295,19,13.443750000000001,-110.0,500.0,1.0,-101.88368421052631,500.0,1.0
3,"[0, 3]","[16, 17]",False,5,0.0,0.21861161161161166,6,4.04775,loop_detected,True,19,23.55634918610405,0.19110061061061062,18,14.28505,-110.0,500.0,1.0,-101.33100000000002,500.0,1.0
4,"[18, 18]","[3, 2]",False,6,1.4142135623730951,0.1289550264550264,7,3.4778000000000002,loop_detected,True,17,22.798989873223338,0.2386499277054832,14,14.248149999999999,-110.0,500.0,1.0,-97.6277777777778,500.0,1.0
5,"[2, 16]","[19, 1]",False,5,0.0,0.08679819819819819,6,2.8275,loop_detected,True,29,35.21320343559643,0.16962646980313648,27,21.128249999999998,-110.0,500.0,1.0,-101.07700000000001,500.0,1.0
6,"[18, 19]","[4, 3]",False,8,3.82842712474619,0.12687325102880656,9,4.950100000000001,loop_detected,True,17,23.213203435596434,0.2251144255366478,15,14.093549999999999,-110.0,500.0,1.0,-99.03111111111112,500.0,1.0
7,"[1, 2]","[17, 18]",False,15,15.0,0.31283135635635634,3,9.93055,loop_detected,True,21,25.55634918610405,0.1926586996086996,20,15.496899999999998,-110.0,500.0,1.0,-101.31772727272728,500.0,1.0
8,"[12, 19]","[1, 2]",False,7,2.414213562373095,0.12342777777777775,8,4.67955,loop_detected,True,22,26.970562748477146,0.23480321625973796,18,17.0244,-110.0,500.0,1.0,-98.1673913043478,500.0,1.0
9,"[2, 16]","[18, 3]",False,5,0.0,0.08679819819819819,6,2.8275,loop_detected,True,27,32.798989873223334,0.16541379593879593,25,19.89885,-110.0,500.0,1.0,-101.65892857142858,500.0,1.0
10,"[2, 2]","[14, 18]",False,14,14.0,0.31716796129462793,2,9.169249999999998,loop_detected,True,18,22.970562748477146,0.24172781729097517,15,14.736899999999997,-110.0,500.0,1.0,-97.29842105263158,500.0,1.0
11,"[18, 19]","[1, 6]",False,8,3.414213562373095,0.1207448559670782,9,4.7501,loop_detected,True,21,25.55634918610405,0.17417975247975248,22,15.801200000000001,-110.0,500.0,1.0,-103.36636363636363,500.0,1.0
12,"[19, 19]","[1, 6]",False,7,2.414213562373095,0.1202875,8,4.1846,loop_detected,True,21,25.970562748477146,0.17409389389389388,22,15.616950000000001,-110.0,500.0,1.0,-103.37999999999998,500.0,1.0
13,"[19, 1]","[4, 17]",False,6,1.0,0.22379523809523813,7,3.6213000000000006,loop_detected,True,28,34.21320343559643,0.17338308998653829,26,20.783900000000003,-110.0,500.0,1.0,-100.63896551724137,500.0,1.0
14,"[3, 5]","[19, 19]",False,5,0.0,0.38853173173173167,0,3.6782500000000002,loop_detected,True,18,22.970562748477146,0.20851497286760443,15,14.378850000000002,-110.0,500.0,1.0,-100.7036842105263,500.0,1.0
15,"[0, 2]","[18, 19]",False,5,0.0,0.20925025025025026,6,3.6782500000000002,loop_detected,True,22,27.384776310850242,0.18764895765330547,21,16.53575,-110.0,500.0,1.0,-101.92652173913044,500.0,1.0
16,"[19, 17]","[1, 3]",False,8,3.414213562373095,0.14685349794238686,9,5.3035,loop_detected,True,20,24.970562748477146,0.22459275465942136,16,15.6786,-110.0,500.0,1.0,-98.77809523809525,500.0,1.0
17,"[17, 0]","[4, 17]",False,6,1.0,0.2508423280423281,7,3.0,loop_detected,True,27,33.213203435596434,0.16414875589875594,26,20.22415,-110.0,500.0,1.0,-101.91428571428571,500.0,1.0
18,"[19, 15]","[1, 0]",False,6,1.0,0.14869841269841264,7,3.3930000000000002,loop_detected,True,18,24.213203435596434,0.24521431431431429,15,15.36615,-110.0,500.0,1.0,-96.5784210526316,500.0,1.0
19,"[17, 17]","[4, 1]",False,5,0.0,0.1300703703703703,6,2.7315,loop_detected,True,18,22.55634918610405,0.24298777198250884,14,13.99675,-110.0,500.0,1.0,-96.9363157894737,500.0,1.0
20,"[12, 1]","[0, 19]",False,5,0.0,0.23641481481481477,6,3.6555,loop_detected,True,21,24.72792206135786,0.15842339157339158,22,14.51895,-110.0,500.0,1.0,-103.12863636363636,500.0,1.0
