episode,global_step,ep_reward,ep_length,termination_reason,term_goal,term_battery,term_collision,term_timeout,start_x,start_y,goal_x,goal_y,distance_to_goal,distance_reduction,invalid_move_count,invalid_move_rate,battery_remaining,avg_network_score,avg_rssi,avg_latency,avg_packet_loss,total_outage_steps,route_distance
1,124,-3140.838668,124,goal_reached,1,0,0,0,8,0,14,4,0.0,7.211102550927978,66,0.532258064516129,70.12269999999991,0.2423569881881882,-92.33912000000001,,,113,63.79898987322332
2,560,-8208.056614,436,battery_depleted,0,1,0,0,14,8,5,12,10.63014581273465,-0.781288010938546,250,0.573394495412844,0.0,0.2886512517093753,-84.76224256292905,,,275,205.05382386916256
3,1060,-46014.393655,500,timeout,0,0,0,1,19,1,14,4,5.830951894845301,0.0,372,0.744,7.980049999999732,0.25117323730916546,-90.70097804391219,,,481,128.0
4,1457,-81002.785928,397,battery_depleted,0,1,0,0,15,19,11,11,7.0,1.9442719099991592,215,0.5415617128463476,0.0,0.12665343735695492,-110.02261306532661,,,397,203.95331880577422
5,1957,-23821.145199,500,timeout,0,0,0,1,18,3,9,3,10.04987562112089,-1.04987562112089,386,0.772,10.808199999999813,0.2614025148901396,-89.08756487025947,,,408,114.0
6,2265,-2648.848223,308,battery_depleted,0,1,0,0,4,1,0,6,6.0,0.40312423743284853,111,0.36038961038961037,0.0,0.28124962017033217,-92.62184466019418,,,204,226.8233764908631
7,2671,-84623.199348,406,battery_depleted,0,1,0,0,18,12,10,10,7.0710678118654755,1.1751434393698457,189,0.46551724137931033,0.0,0.14746531986531988,-107.16727272727273,,,406,247.2375900532363
8,3080,-47583.668345,409,battery_depleted,0,1,0,0,14,6,19,14,9.848857801796104,-0.41487666973950077,229,0.5599022004889975,0.0,0.21573845821431187,-96.27592682926829,,,397,198.22539674441637
9,3516,-97678.157719,436,battery_depleted,0,1,0,0,6,18,10,9,9.055385138137417,0.7934726636586866,281,0.6444954128440367,0.0,0.1036610010468134,-112.36512585812356,,,436,167.4264068711929
10,3899,-9807.742056,383,battery_depleted,0,1,0,0,12,9,19,11,13.45362404707371,-6.173514157793192,177,0.4621409921671018,0.0,0.25477576587003675,-90.27380208333334,,,336,235.8233764908631
